SUBID,BLOCK,TRIAL,time,dimensionality_estimate
317,152,12,10,0.383520599250936
317,152,12,22,0.369662921348315
317,152,12,34,0.37940074906367
317,152,12,46,0.368539325842697
317,152,12,58,0.408614232209738
317,152,12,70,0.449812734082397
317,152,12,82,0.510486891385768
317,152,12,94,0.527340823970037
317,152,12,106,0.568164794007491
317,152,12,118,0.60187265917603
317,152,12,130,0.622846441947566
317,152,12,142,0.67752808988764
317,152,12,154,0.713108614232209
317,152,12,166,0.710861423220973
317,152,12,178,0.704868913857677
317,152,12,190,0.679026217228464
317,152,13,-794,0.468164794007491
317,152,13,-782,0.480149812734082
317,152,13,-770,0.461423220973783
317,152,13,-758,0.440449438202247
317,152,13,-746,0.39063670411985
317,152,13,-734,0.32996254681648
317,152,13,-722,0.31498127340824
317,152,13,-710,0.304119850187266
317,152,13,-698,0.319101123595506
317,152,13,-686,0.32996254681648
317,152,13,-674,0.33183520599251
317,152,13,-662,0.282771535580524
317,152,13,-650,0.294007490636704
317,152,13,-638,0.31498127340824
317,152,13,-626,0.342696629213483
317,152,13,-614,0.352808988764045
317,152,13,-602,0.340074906367041
317,152,13,-590,0.31310861423221
317,152,13,-578,0.29250936329588
317,152,13,-566,0.292883895131086
317,152,13,-554,0.326591760299626
317,152,13,-542,0.417602996254682
317,152,13,-530,0.483520599250936
317,152,13,-518,0.523595505617978
317,152,13,-506,0.528838951310861
317,152,13,-494,0.477528089887641
317,152,13,-482,0.410112359550562
317,152,13,-470,0.32059925093633
317,152,13,-458,0.284644194756554
317,152,13,-446,0.281647940074906
317,152,13,-434,0.256554307116105
317,152,13,-422,0.246067415730337
317,152,13,-410,0.29438202247191
317,152,13,-398,0.334831460674157
317,152,13,-386,0.362172284644195
317,152,13,-374,0.42059925093633
317,152,13,-362,0.447940074906367
317,152,13,-350,0.51498127340824
317,152,13,-338,0.556179775280899
317,152,13,-326,0.592883895131086
317,152,13,-314,0.567041198501873
317,152,13,-302,0.526966292134832
317,152,13,-290,0.50374531835206
317,152,13,-278,0.504494382022472
317,152,13,-266,0.508239700374532
317,152,13,-254,0.523220973782771
317,152,13,-242,0.506367041198502
317,152,13,-230,0.461423220973783
317,152,13,-218,0.372659176029963
317,152,13,-206,0.347191011235955
317,152,13,-194,0.39625468164794
317,152,13,-182,0.433333333333333
317,152,13,-170,0.441573033707865
317,152,13,-158,0.461797752808989
317,152,13,-146,0.49812734082397
317,152,13,-134,0.539325842696629
317,152,13,-122,0.585393258426966
317,152,13,-110,0.622097378277154
317,152,13,-98,0.692134831460674
317,152,13,-86,0.740449438202247
317,152,13,-74,0.748314606741573
317,152,13,-62,0.721722846441947
317,152,13,-50,0.638202247191011
317,152,13,-38,0.554681647940075
317,152,13,-26,0.497378277153558
317,152,13,-14,0.444569288389513
317,152,13,-2,0.429588014981273
317,152,13,10,0.397003745318352
317,152,13,22,0.384644194756554
317,152,13,34,0.364794007490637
317,152,13,46,0.388014981273408
317,152,13,58,0.346816479400749
317,152,13,70,0.359176029962547
317,152,13,82,0.374906367041199
317,152,13,94,0.401498127340824
317,152,13,106,0.464419475655431
317,152,13,118,0.483520599250936
317,152,13,130,0.503370786516854
317,152,13,142,0.509737827715356
317,152,13,154,0.537453183520599
317,152,13,166,0.566292134831461
317,152,13,178,0.553932584269663
317,152,13,190,0.556179775280899
317,153,1,-794,0.668913857677903
317,153,1,-782,0.692134831460674
317,153,1,-770,0.658052434456929
317,153,1,-758,0.58689138576779
317,153,1,-746,0.520224719101123
317,153,1,-734,0.47565543071161
317,153,1,-722,0.445318352059925
317,153,1,-710,0.430711610486891
317,153,1,-698,0.408239700374532
317,153,1,-686,0.396629213483146
317,153,1,-674,0.383895131086142
317,153,1,-662,0.404868913857678
317,153,1,-650,0.40187265917603
317,153,1,-638,0.42059925093633
317,153,1,-626,0.421722846441948
317,153,1,-614,0.444194756554307
317,153,1,-602,0.464044943820225
317,153,1,-590,0.512359550561798
317,153,1,-578,0.553183520599251
317,153,1,-566,0.612359550561798
317,153,1,-554,0.613857677902622
317,153,1,-542,0.688014981273408
317,153,1,-530,0.668539325842696
317,153,1,-518,0.672659176029962
317,153,1,-506,0.596629213483146
317,153,1,-494,0.580898876404494
317,153,1,-482,0.573033707865169
317,153,1,-470,0.58501872659176
317,153,1,-458,0.619101123595506
317,153,1,-446,0.613857677902621
317,153,1,-434,0.582397003745318
317,153,1,-422,0.508239700374532
317,153,1,-410,0.408988764044944
317,153,1,-398,0.400374531835206
317,153,1,-386,0.38689138576779
317,153,1,-374,0.438202247191011
317,153,1,-362,0.462546816479401
317,153,1,-350,0.405992509363296
317,153,1,-338,0.389887640449438
317,153,1,-326,0.429962546816479
317,153,1,-314,0.443445692883895
317,153,1,-302,0.4374531835206
317,153,1,-290,0.464419475655431
317,153,1,-278,0.487640449438202
317,153,1,-266,0.510112359550562
317,153,1,-254,0.486142322097378
317,153,1,-242,0.504494382022472
317,153,1,-230,0.556179775280899
317,153,1,-218,0.580524344569288
317,153,1,-206,0.578651685393259
317,153,1,-194,0.595131086142322
317,153,1,-182,0.577902621722846
317,153,1,-170,0.544569288389513
317,153,1,-158,0.513483146067416
317,153,1,-146,0.501498127340824
317,153,1,-134,0.467041198501873
317,153,1,-122,0.515730337078652
317,153,1,-110,0.546441947565543
317,153,1,-98,0.567790262172285
317,153,1,-86,0.567415730337079
317,153,1,-74,0.577902621722847
317,153,1,-62,0.566666666666667
317,153,1,-50,0.570786516853933
317,153,1,-38,0.549063670411985
317,153,1,-26,0.57752808988764
317,153,1,-14,0.57752808988764
317,153,1,-2,0.559176029962547
317,153,1,10,0.610861423220974
317,153,1,22,0.623595505617978
317,153,1,34,0.60561797752809
317,153,1,46,0.617602996254682
317,153,1,58,0.562546816479401
317,153,1,70,0.558426966292135
317,153,1,82,0.520224719101123
317,153,1,94,0.460299625468165
317,153,1,106,0.433707865168539
317,153,1,118,0.405992509363296
317,153,1,130,0.427340823970038
317,153,1,142,0.468913857677902
317,153,1,154,0.469662921348315
317,153,1,166,0.507116104868914
317,153,1,178,0.538202247191011
317,153,1,190,0.537827715355805
317,153,2,-794,0.497752808988764
317,153,2,-782,0.508239700374531
317,153,2,-770,0.458801498127341
317,153,2,-758,0.443071161048689
317,153,2,-746,0.402247191011236
317,153,2,-734,0.352808988764045
317,153,2,-722,0.331086142322098
317,153,2,-710,0.358052434456929
317,153,2,-698,0.338202247191012
317,153,2,-686,0.314606741573034
317,153,2,-674,0.290262172284645
317,153,2,-662,0.316104868913858
317,153,2,-650,0.335205992509363
317,153,2,-638,0.345692883895131
317,153,2,-626,0.40187265917603
317,153,2,-614,0.433333333333333
317,153,2,-602,0.460299625468165
317,153,2,-590,0.485767790262172
317,153,2,-578,0.49812734082397
317,153,2,-566,0.502996254681648
317,153,2,-554,0.487640449438202
317,153,2,-542,0.511985018726592
317,153,2,-530,0.494007490636704
317,153,2,-518,0.470786516853932
317,153,2,-506,0.473033707865169
317,153,2,-494,0.511985018726592
317,153,2,-482,0.541573033707865
317,153,2,-470,0.551310861423221
317,153,2,-458,0.566292134831461
317,153,2,-446,0.580149812734083
317,153,2,-434,0.576404494382023
317,153,2,-422,0.58689138576779
317,153,2,-410,0.616104868913858
317,153,2,-398,0.630711610486891
317,153,2,-386,0.699250936329588
317,153,2,-374,0.700374531835206
317,153,2,-362,0.713857677902622
317,153,2,-350,0.70561797752809
317,153,2,-338,0.698876404494382
317,153,2,-326,0.646816479400749
317,153,2,-314,0.683520599250936
317,153,2,-302,0.67940074906367
317,153,2,-290,0.600374531835206
317,153,2,-278,0.524719101123595
317,153,2,-266,0.493258426966292
317,153,2,-254,0.472659176029963
317,153,2,-242,0.525842696629213
317,153,2,-230,0.526591760299626
317,153,2,-218,0.56441947565543
317,153,2,-206,0.587265917602996
317,153,2,-194,0.568164794007491
317,153,2,-182,0.552808988764045
317,153,2,-170,0.555056179775281
317,153,2,-158,0.550187265917603
317,153,2,-146,0.595880149812734
317,153,2,-134,0.60374531835206
317,153,2,-122,0.585767790262172
317,153,2,-110,0.553558052434457
317,153,2,-98,0.535580524344569
317,153,2,-86,0.553183520599251
317,153,2,-74,0.541947565543071
317,153,2,-62,0.483520599250936
317,153,2,-50,0.444194756554307
317,153,2,-38,0.462546816479401
317,153,2,-26,0.495131086142322
317,153,2,-14,0.526591760299625
317,153,2,-2,0.515730337078652
317,153,2,10,0.521348314606742
317,153,2,22,0.5187265917603
317,153,2,34,0.555430711610487
317,153,2,46,0.546067415730337
317,153,2,58,0.565168539325843
317,153,2,70,0.56816479400749
317,153,2,82,0.545318352059925
317,153,2,94,0.550561797752809
317,153,2,106,0.561797752808989
317,153,2,118,0.565917602996255
317,153,2,130,0.583146067415731
317,153,2,142,0.595505617977528
317,153,2,154,0.595131086142322
317,153,2,166,0.629588014981273
317,153,2,178,0.615355805243446
317,153,2,190,0.576779026217228
317,153,3,-794,0.490262172284644
317,153,3,-782,0.441947565543071
317,153,3,-770,0.453558052434457
317,153,3,-758,0.444569288389513
317,153,3,-746,0.465917602996255
317,153,3,-734,0.480524344569289
317,153,3,-722,0.487640449438202
317,153,3,-710,0.437827715355805
317,153,3,-698,0.42247191011236
317,153,3,-686,0.376404494382023
317,153,3,-674,0.343445692883895
317,153,3,-662,0.353932584269663
317,153,3,-650,0.358801498127341
317,153,3,-638,0.357677902621723
317,153,3,-626,0.308239700374532
317,153,3,-614,0.372284644194757
317,153,3,-602,0.431460674157303
317,153,3,-590,0.51310861423221
317,153,3,-578,0.548314606741573
317,153,3,-566,0.52247191011236
317,153,3,-554,0.495505617977528
317,153,3,-542,0.447940074906367
317,153,3,-530,0.444194756554307
317,153,3,-518,0.441947565543071
317,153,3,-506,0.457303370786517
317,153,3,-494,0.402996254681648
317,153,3,-482,0.331086142322098
317,153,3,-470,0.313857677902622
317,153,3,-458,0.292883895131086
317,153,3,-446,0.3
317,153,3,-434,0.302247191011236
317,153,3,-422,0.355805243445693
317,153,3,-410,0.39438202247191
317,153,3,-398,0.397003745318352
317,153,3,-386,0.391385767790262
317,153,3,-374,0.418352059925093
317,153,3,-362,0.422846441947565
317,153,3,-350,0.430711610486891
317,153,3,-338,0.421348314606742
317,153,3,-326,0.388389513108614
317,153,3,-314,0.401123595505618
